,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区
千代田区,11691,7915,8608,13462,13902,6369,8861,22160,11279,9297,16521,31773,7379,11779,22257,9470,12724,7362,17775,21751,18398,13589,23402
中央区,1303,26386,5678,6022,5374,5308,9070,24886,8313,5683,12707,16815,3958,6204,11545,4899,6222,4932,9001,11441,14245,10965,20555
港区,1805,7187,38347,9213,7698,4917,7877,18438,23271,13803,32455,36366,9431,9663,18330,7169,9446,5495,12988,17728,13324,10580,15585
新宿区,1193,2082,3173,54933,6314,2390,3407,8952,5427,4764,7739,20544,6792,18368,22003,8701,7505,3178,12208,24025,7450,5349,10056
文京区,797,1121,1414,3748,33114,2723,2134,4804,1954,1597,2987,5486,1369,2723,4508,6490,6871,3453,10536,8516,6658,4172,5225
台東区,366,951,670,1269,2415,28635,5730,4342,1437,799,2341,2431,668,1279,1961,1611,3407,6069,2772,2739,10855,6786,5655
墨田区,179,668,423,675,766,1696,43663,9172,759,411,1204,1288,326,693,1141,558,992,1453,1205,1223,5599,7210,9059
江東区,402,2936,1394,2121,1741,1867,7611,94509,3339,1421,4772,4457,1155,2361,3420,1913,2523,2010,3848,4571,6680,6356,25112
品川区,314,1247,3256,2119,1474,1362,2007,4915,65398,6095,28930,10289,1887,2578,4801,2022,2743,1659,3735,4843,3809,3241,4873
目黒区,131,423,1096,1061,821,412,541,1346,4864,32715,7254,12585,1635,1274,2916,836,1016,484,1458,2132,1214,741,1221
大田区,210,962,2068,1033,811,762,1130,2819,12952,3218,156690,6713,948,1142,1827,830,1441,943,1617,1882,2162,1924,2912
世田谷区,234,526,1201,1738,943,520,866,1989,3444,5496,6662,135245,2581,2304,7309,1220,1346,619,2173,3581,1811,1133,1908
渋谷区,606,1815,4492,5672,2688,1717,2523,5806,7387,9904,9742,29742,28747,7971,14872,4331,4295,2205,6744,10808,4980,3453,5538
中野区,103,221,301,2983,469,277,394,1072,573,464,852,2315,1078,35372,7809,1153,863,356,1678,8153,914,576,1230
杉並区,168,253,402,1887,618,349,458,1157,846,819,1220,6883,1258,6775,68261,939,969,406,1674,8475,940,619,1294
豊島区,281,634,803,3700,3856,1078,1117,2476,1549,1186,2302,4221,1157,3325,3966,36408,7585,2169,16808,16746,4617,2577,2823
北区,85,178,277,723,1356,688,526,1007,612,313,776,897,296,716,911,2445,49565,2957,6317,2527,5318,1506,1159
荒川区,68,144,186,302,760,1534,854,791,325,163,437,488,136,281,394,611,2470,30965,964,829,6741,2447,1023
板橋区,123,236,305,1041,1463,441,469,1009,525,355,715,1255,341,1221,1314,3968,7196,928,98712,10600,2282,1062,1147
練馬区,84,142,190,1101,580,162,241,514,281,303,465,1117,312,3189,2973,1995,1133,349,6426,117260,824,415,507
足立区,78,212,182,376,680,1071,1615,1206,288,189,494,521,154,327,435,636,2613,3388,1298,867,139492,7140,2006
葛飾区,70,177,146,188,302,470,1849,1264,236,90,304,306,109,149,226,230,484,961,448,365,7635,80346,6214
江戸川区,113,474,247,443,405,501,2324,6543,468,180,718,606,203,413,546,322,546,609,673,633,2438,6685,138847
