,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
千代田区,11691,7915,8608,13462,13902,6369,8861,22160,11279,9297,16521,31773,7379,11779,22257,9470,12724,7362,17775,21751,18398,13589,23402,6075,2284,5782,5643,789,4654,1395,6626,6097,4425,3960,2838,2647,3454,1555,406,2070,921,1463,2870,396,2656,1590,349,447,5304,118,76,2,10,1,0,0,1,0,0,0,0,0
中央区,1303,26386,5678,6022,5374,5308,9070,24886,8313,5683,12707,16815,3958,6204,11545,4899,6222,4932,9001,11441,14245,10965,20555,2841,1100,2757,2863,352,2395,618,3356,3391,1894,1903,1364,1317,1690,865,201,1189,492,720,1225,219,1322,841,177,163,2902,45,32,0,2,1,0,0,0,0,0,0,0,0
港区,1805,7187,38347,9213,7698,4917,7877,18438,23271,13803,32455,36366,9431,9663,18330,7169,9446,5495,12988,17728,13324,10580,15585,4895,1635,4053,4194,539,4656,896,5514,6683,2707,2694,2217,1768,2373,1142,320,2339,702,926,1730,294,2364,1582,267,298,3853,98,56,1,8,3,0,1,0,0,0,0,0,1
新宿区,1193,2082,3173,54933,6314,2390,3407,8952,5427,4764,7739,20544,6792,18368,22003,8701,7505,3178,12208,24025,7450,5349,10056,8250,2913,4449,4923,960,5943,1652,7702,6234,3758,5587,3404,4405,3258,1496,643,2304,1510,1436,2649,653,3395,1964,537,614,7934,160,111,0,17,1,0,0,1,0,0,2,0,0
文京区,797,1121,1414,3748,33114,2723,2134,4804,1954,1597,2987,5486,1369,2723,4508,6490,6871,3453,10536,8516,6658,4172,5225,1411,489,1121,1148,200,955,274,1347,1220,784,843,580,707,677,368,110,384,265,627,911,108,580,337,98,97,1605,34,26,2,4,0,0,0,0,0,0,0,0,0
台東区,366,951,670,1269,2415,28635,5730,4342,1437,799,2341,2431,668,1279,1961,1611,3407,6069,2772,2739,10855,6786,5655,642,272,476,512,92,490,144,613,576,351,387,299,325,329,122,52,185,116,221,346,63,288,141,45,46,636,17,11,1,0,0,0,1,0,0,0,0,0,0
墨田区,179,668,423,675,766,1696,43663,9172,759,411,1204,1288,326,693,1141,558,992,1453,1205,1223,5599,7210,9059,342,137,271,310,39,261,75,339,335,256,232,151,157,185,72,33,118,48,71,118,28,148,82,16,19,291,12,10,0,0,0,0,0,1,0,0,0,0,0
江東区,402,2936,1394,2121,1741,1867,7611,94509,3339,1421,4772,4457,1155,2361,3420,1913,2523,2010,3848,4571,6680,6356,25112,1086,425,867,1009,131,899,259,1140,1063,623,688,487,570,575,229,74,370,213,301,465,85,489,326,73,77,1081,23,12,1,2,0,0,0,0,0,0,0,0,0
品川区,314,1247,3256,2119,1474,1362,2007,4915,65398,6095,28930,10289,1887,2578,4801,2022,2743,1659,3735,4843,3809,3241,4873,1664,590,1127,1268,195,1304,328,1707,2481,879,926,766,700,715,338,110,631,275,348,561,114,759,581,101,99,1299,28,15,0,1,0,0,0,0,0,0,1,0,0
目黒区,131,423,1096,1061,821,412,541,1346,4864,32715,7254,12585,1635,1274,2916,836,1016,484,1458,2132,1214,741,1221,761,267,565,1099,75,680,167,972,1351,381,413,345,276,321,184,42,501,120,138,253,56,406,353,35,62,585,18,9,1,1,0,0,0,0,0,0,1,0,0
大田区,210,962,2068,1033,811,762,1130,2819,12952,3218,156690,6713,948,1142,1827,830,1441,943,1617,1882,2162,1924,2912,719,268,338,448,81,606,146,654,1655,252,309,275,200,240,184,42,369,115,117,211,51,329,535,43,51,451,23,11,0,1,1,0,0,0,0,0,0,0,0
世田谷区,234,526,1201,1738,943,520,866,1989,3444,5496,6662,135245,2581,2304,7309,1220,1346,619,2173,3581,1811,1133,1908,3156,704,1135,2951,260,3122,400,6136,5772,793,798,1196,543,642,500,134,5213,247,237,445,170,1999,1716,122,154,966,62,29,3,5,0,0,0,0,0,0,0,0,1
